Family	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae	0	1	0	0	46	48	99	19	23	32	36	0	18	27	10	18	31	32	28	0	23	57	2	34	21	20	3	28	19	23	11	27	10	0	28	0	0	2	0	0	0	0	0	0	0	0	2	0	0	43	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1	13	3	7	17	47	24	10	11	9	34	4	46	45	19	18	85	21	6	2	0	21	7	19	3	33	83	8	17	72	10	1	1	20	8	8	1164	1125	252	57	115	1659	2777	5469	5	9	14	5	6	2349	1040	1200
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group	1	0	0	0	21	50	35	23	40	46	29	9	54	145	24	20	43	119	23	1	15	199	2	73	16	6	126	27	116	59	15	44	79	14	20	73	35	37	62	66	78	0	0	17	1	1	0	9	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae	0	0	0	0	1	0	15	3	0	0	9	0	11	0	6	0	4	0	10	0	2	2	0	0	3	4	4	3	2	3	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae	0	0	0	0	0	2	1	1	0	4	0	0	1	4	0	0	0	3	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI	3	1	0	0	0	0	1	2	1	1	3	6	0	0	1	2	1	0	3	0	2	1	1	1	1	2	0	1	3	0	0	0	0	0	0	1	0	0	2	1	1	707	938	0	3	0	1	0	1364	430	410
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII	0	1	94	70	45	39	50	18	54	41	19	0	32	19	9	9	13	70	19	0	15	48	0	20	13	31	6	16	15	9	1	12	19	79	30	56	52	39	45	45	39	0	0	138	1	1	0	34	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	2900	5932	9646	9859	7091	12926	9518	6004	13789	10620	9300	3947	7544	5597	5067	6391	7255	13029	7428	8862	3713	4775	2178	5679	2724	2038	2903	4375	8718	4755	1241	8193	5777	4813	4013	10621	12280	20445	12714	9314	12491	3903	820	8928	1769	4393	7886	7089	6016	9600	1638
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae	53	2	66	68	19	29	27	10	22	18	11	63	11	7	15	5	6	22	13	5	18	7	17	5	11	4	5	5	21	12	1	17	11	57	11	28	33	32	46	16	43	1	0	118	0	13	9	32	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	195	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	6	0	3	0	0	1	0	0	1	7	0	0	0	0	0	0	0	0	11	1	0	2	4	1	1	1	529	0	145	1	2	0	613	1	3
