Genus	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	1	0	4	2	67	1133	4	631	190	1	1	1	1	1	27	30	70	7	84	1165	13	7	1	2	8	0	0	12	1	7	6	0	0	0	3	0	2	0	0	0	2	0	0	1	4	5	0	0	2	2	2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	13	31	23	4	21	13	12	8	7	5	6	24	1	1	0	8	4	10	5	3	9	11	7	7	8	0	2	3	10	6	4	2	7	25	6	21	13	1	10	20	8	807	2	25	6	18	157	13	2388	1555	1603
Bacteria;Firmicutes;Clostridia;Clostridiales;?;?	5	6	2	1	5	5	57	13	90	5	3	56	1	0	4	4	2	71	3	2	3	3	7	3	4	1	1	2	4	15	0	21	7	10	3	0	10	6	8	1	10	0	0	14	1	4	9	5	18	53	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;?	0	0	0	0	1	0	2	0	1	5	4	0	0	1	0	0	1	4	0	0	2	1	0	2	0	0	1	1	3	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group	0	1	0	0	45	48	97	19	22	27	32	0	18	26	10	18	30	28	28	0	21	56	2	32	21	20	2	27	16	23	11	26	9	0	25	0	0	2	0	0	0	0	0	0	0	0	2	0	0	43	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Candidatus Arthromitus	9	0	0	0	1	10	0	0	0	26	0	39	1	13	16	82	13	0	0	0	0	0	13	1	10	0	0	3	50	0	0	0	0	5	0	3	0	0	54	102	11	0	1	1	1	0	0	2	1	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1	4	3	7	17	46	14	10	11	9	8	4	7	44	6	2	3	8	6	2	0	21	7	6	2	2	83	8	14	22	10	1	1	3	3	8	1161	1125	252	3	13	1648	2777	5468	4	8	14	5	4	2348	1038	1200
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;?	1	0	0	0	21	49	35	23	40	46	28	9	54	145	24	20	43	119	23	1	15	189	2	71	14	6	126	27	116	59	15	44	79	14	20	73	35	37	62	66	78	0	0	17	1	1	0	9	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured prokaryote	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitaleaceae UCG-011	0	0	0	0	1	0	15	3	0	0	9	0	11	0	6	0	4	0	10	0	2	2	0	0	3	4	4	3	2	3	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis	0	0	0	0	0	2	1	1	0	4	0	0	1	4	0	0	0	3	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Anaerococcus	3	0	0	0	0	0	0	1	1	1	3	6	0	0	1	2	0	0	3	0	2	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	714	0	3	0	1	0	1364	430	410
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	707	224	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Anaerovorax	0	0	0	0	3	3	2	0	4	7	1	0	3	2	0	0	1	11	1	0	1	3	0	1	2	1	0	1	2	0	0	3	1	0	2	11	7	7	10	0	9	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group	0	0	7	3	7	9	9	11	2	8	3	0	8	8	0	1	4	8	5	0	5	19	0	4	4	5	0	3	1	5	0	2	7	7	4	1	4	0	3	9	4	0	0	14	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII UCG-001	0	1	26	52	23	18	23	2	42	20	9	0	11	2	7	2	3	40	7	0	8	8	0	10	2	6	2	7	4	2	1	5	8	28	6	8	20	24	6	4	10	0	0	88	0	0	0	2	0	0	0
